Find the movies released before January 1st, 2000?
select M.name,M.year,R.date from movies M join released R on M.movie_id=R.movie_id where R.date<2000-01-01;
                                   name                                   | year |    date    
 Juice                                                                    | 1992 | 1992-01-17
 Surviving the Game                                                       | 1994 | 1994-04-15
 Tales from the Crypt: Demon Knight                                       | 1995 | 1995-01-13
 Bulletproof                                                              | 1996 | 1996-09-06
 1969                                                                     | 1988 | 1988-11-18
 House II: the Second Story                                               | 1987 | 1987-08-28
 Maccheroni                                                               | 1985 | 1985-10-24
 Desert Bloom                                                             | 1986 | 1986-04-18
 Once Upon a Crime...                                                     | 1992 | 1992-03-06
 A Dry White Season                                                       | 1989 | 1989-09-20
 Nobody's Fool                                                            | 1986 | 1986-11-07
 Friday                                                                   | 1995 | 1995-04-26
 Set It Off                                                               | 1996 | 1996-11-06
 The Negotiator                                                           | 1998 | 1998-07-29
 Fire Down Below                                                          | 1997 | 1997-09-05
 Lawnmower Man 2: Beyond Cyberspace                                       | 1996 | 1996-01-12
 City of Women                                                            | 1980 | 1981-04-08
 Ginger and Fred                                                          | 1986 | 1986-03-28
 Intervista                                                               | 1987 | 1992-11-06
 Nate and Hayes                                                           | 1983 | 1983-11-18
 Comin' at Ya!                                                            | 1981 | 1981-07-24
 Belle Epoque                                                             | 1992 | 1994-02-25
 The Hollywood Knights                                                    | 1980 | 1980-05-30
 There Goes My Baby                                                       | 1994 | 1994-09-02
 The Assault                                                              | 1986 | 1986-02-06
 Waiting to Exhale                                                        | 1995 | 1995-12-22
 Hope Floats                                                              | 1998 | 1998-05-29
 An Affair of Love                                                        | 1999 | 1999-09-04
 Buffy the Vampire Slayer                                                 | 1992 | 1992-07-31
 The Red Violin                                                           | 1998 | 1999-06-11
 The Lords of Discipline                                                  | 1983 | 1983-02-18
 The Bride                                                                | 1985 | 1985-08-16
 K2                                                                       | 1991 | 1992-05-01
 One from the Heart                                                       | 1981 | 1982-02-11
 The Outsiders                                                            | 1983 | 1983-03-25
 Rumble Fish                                                              | 1983 | 1983-10-21
 The Cotton Club                                                          | 1984 | 1984-12-14
 Peggy Sue Got Married                                                    | 1986 | 1986-10-10
 Gardens of Stone                                                         | 1987 | 1987-05-08
 Tucker: The Man and His Dream                                            | 1988 | 1988-08-12
 The Godfather: Part III                                                  | 1990 | 1990-12-25
 Dracula                                                                  | 1992 | 1992-11-13
 Jack                                                                     | 1996 | 1996-08-09
 The Rainmaker                                                            | 1997 | 1997-11-21
 Taffin                                                                   | 1988 | 1988-02-26
 Three Fugitives                                                          | 1989 | 1989-01-27
 Out on a Limb                                                            | 1992 | 1992-09-04
 Le DÃ®ner de Cons                                                        | 1998 | 1998-04-15
 Flashback                                                                | 1990 | 1990-02-02
 Monkey Trouble                                                           | 1994 | 1994-03-18
 Babylon                                                                  | 1980 | 1980-11-01
 Endless Love                                                             | 1981 | 1981-07-17
 La traviata                                                              | 1982 | 1983-02-18
 Hamlet                                                                   | 1990 | 1991-01-18
 Jane Eyre                                                                | 1996 | 1996-04-12
 Tea with Mussolini                                                       | 1999 | 1999-05-14
 The Wedding Singer                                                       | 1998 | 1998-02-13
 The Waterboy                                                             | 1998 | 1998-11-06
 The Shawshank Redemption                                                 | 1994 | 1994-10-14
 The Green Mile                                                           | 1999 | 1999-12-10
 Scissors                                                                 | 1991 | 1991-03-22
 Low Blow                                                                 | 1986 | 1986-04-01
 Frankenhooker                                                            | 1990 | 1990-06-01
 Lady in White                                                            | 1988 | 1988-04-22
 Arachnophobia                                                            | 1990 | 1990-07-18
 Alive                                                                    | 1993 | 1993-01-15
 Congo                                                                    | 1995 | 1995-06-09
 The Muppets Take Manhattan                                               | 1984 | 1984-07-13
 Little Shop of Horrors                                                   | 1986 | 1986-12-19
 Dirty Rotten Scoundrels                                                  | 1988 | 1988-12-14
 What About Bob?                                                          | 1991 | 1991-05-17
 HouseSitter                                                              | 1992 | 1992-06-12
 The Indian in the Cupboard                                               | 1995 | 1995-07-14
 In & Out                                                                 | 1997 | 1997-09-19
 Bowfinger                                                                | 1999 | 1999-08-13
 Mommie Dearest                                                           | 1981 | 1981-09-25
 Monsignor                                                                | 1982 | 1982-10-22
 Compromising Positions                                                   | 1985 | 1985-08-30
 Hello Again                                                              | 1987 | 1987-11-06
 Joe the King                                                             | 1999 | 1999-01-22
 The Golden Seal                                                          | 1983 | 1983-08-19
 Sphinx                                                                   | 1981 | 1981-02-11
 Yes, Giorgio                                                             | 1982 | 1982-09-24
 Needful Things                                                           | 1993 | 1993-08-27
 Alaska                                                                   | 1996 | 1996-08-14
 Night of the Creeps                                                      | 1986 | 1986-08-22
 The Monster Squad                                                        | 1987 | 1987-08-14
 RoboCop 3                                                                | 1993 | 1993-11-05
 Armed Response                                                           | 1986 | 1986-10-03
 Cyclone                                                                  | 1987 | 1987-06-05
 Barbarosa                                                                | 1982 | 1982-02-19
 Iceman                                                                   | 1984 | 1984-04-13
 Plenty                                                                   | 1985 | 1985-09-20
 Roxanne                                                                  | 1987 | 1987-06-19
 A Cry in the Dark                                                        | 1988 | 1988-11-11
 The Russia House                                                         | 1990 | 1990-12-21
 Mr. Baseball                                                             | 1992 | 1992-10-02
 Six Degrees of Separation                                                | 1993 | 1993-12-08
 I.Q.                                                                     | 1994 | 1994-12-25
 Fierce Creatures                                                         | 1997 | 1997-01-24
 April Fool's Day                                                         | 1986 | 1986-03-28
 Five Days One Summer                                                     | 1982 | 1982-01-01
 The Doctor and the Devils                                                | 1985 | 1985-10-04
 Quest for Camelot                                                        | 1998 | 1998-05-15
 Children of the Corn                                                     | 1984 | 1984-03-09
 Tuff Turf                                                                | 1985 | 1985-01-11
 The Wizard of Oz                                                         | 1982 | 1982-10-06
 Farinelli                                                                | 1994 | 1995-03-17
 Edge of Sanity                                                           | 1989 | 1989-04-14
 Petit Con                                                                | 1984 | 1985-04-19
 Mon pÃ¨re, ce hÃ©ros.                                                    | 1991 | 1991-10-23
 Taxi                                                                     | 1998 | 1998-11-20
 Babette's Feast                                                          | 1987 | 1988-03-04
 Mediterraneo                                                             | 1991 | 1991-01-31
 Young Doctors in Love                                                    | 1982 | 1982-07-16
 The Flamingo Kid                                                         | 1984 | 1984-12-21
 Nothing in Common                                                        | 1986 | 1986-07-30
 Overboard                                                                | 1987 | 1987-12-16
 Beaches                                                                  | 1988 | 1989-01-13
 Pretty Woman                                                             | 1990 | 1990-03-23
 Frankie and Johnny                                                       | 1991 | 1991-10-11
 Exit to Eden                                                             | 1994 | 1994-10-14
 Dear God                                                                 | 1996 | 1996-11-01
 Runaway Bride                                                            | 1999 | 1999-07-30
 The Other Sister                                                         | 1999 | 1999-02-26
 Dad                                                                      | 1989 | 1989-11-10
 Things to Do in Denver When You're Dead                                  | 1995 | 1995-12-01
 Kiss the Girls                                                           | 1997 | 1997-10-03
 Masters of the Universe                                                  | 1987 | 1987-08-07
 The Adventures of Elmo in Grouchland                                     | 1999 | 1999-10-01
 Thunder Run                                                              | 1985 | 1986-05-30
 Mosquito                                                                 | 1994 | 1994-11-21
 Allan Quatermain and the Lost City of Gold                               | 1986 | 1987-01-30
 Pleasantville                                                            | 1998 | 1998-10-23
 Dead & Buried                                                            | 1981 | 1981-10-09
 Vice Squad                                                               | 1982 | 1982-01-22
 Wanted: Dead or Alive                                                    | 1986 | 1987-01-16
 Poltergeist III                                                          | 1988 | 1988-06-10
 Lisa                                                                     | 1989 | 1989-10-20
 Miles from Home                                                          | 1988 | 1988-09-16
 Of Mice and Men                                                          | 1992 | 1992-10-02
 The Bachelor                                                             | 1999 | 1999-11-05
 Beauty and the Beast                                                     | 1991 | 1991-11-22
 The Hunchback of Notre Dame                                              | 1996 | 1996-06-21
 Wholly Moses!                                                            | 1980 | 1980-06-13
 I Stand Alone                                                            | 1998 | 1999-02-17
 Dreamchild                                                               | 1985 | 1985-10-04
 Loaded Weapon 1                                                          | 1993 | 1993-02-05
 Brighton Beach Memoirs                                                   | 1986 | 1986-12-25
 Blame It on the Night                                                    | 1984 | 1984-11-02
 The Woman in Red                                                         | 1984 | 1984-08-15
 Haunted Honeymoon                                                        | 1986 | 1986-07-25
 Casual Sex?                                                              | 1988 | 1988-04-22
 Return to Snowy River                                                    | 1988 | 1988-04-15
 Run                                                                      | 1991 | 1991-02-01
 The Sum of Us                                                            | 1994 | 1995-03-08
 The Quiet Earth                                                          | 1985 | 1985-10-18
 Young Guns II                                                            | 1990 | 1990-08-01
 Freejack                                                                 | 1992 | 1992-01-17
 Under Siege 2: Dark Territory                                            | 1995 | 1995-07-14
 Romper Stomper                                                           | 1992 | 1992-11-12
 Creepshow                                                                | 1982 | 1982-11-12
 Day of the Dead                                                          | 1985 | 1985-07-19
 Monkey Shines                                                            | 1988 | 1988-07-29
 The Dark Half                                                            | 1993 | 1993-04-23
 Miami Blues                                                              | 1990 | 1990-04-20
 Grosse Pointe Blank                                                      | 1997 | 1997-04-11
 My Tutor                                                                 | 1983 | 1983-04-22
 Private Resort                                                           | 1985 | 1985-05-03
 Rich and Famous                                                          | 1981 | 1981-10-09
 29th Street                                                              | 1991 | 1991-11-01
 Trapped in Paradise                                                      | 1994 | 1994-12-02
 Swimming with Sharks                                                     | 1994 | 1995-04-21
 Trojan War                                                               | 1997 | 1997-10-01
 House Party 2                                                            | 1991 | 1991-10-23
 Star Wars: Episode I - The Phantom Menace                                | 1999 | 1999-05-19
 Meatballs III: Summer Job                                                | 1986 | 1987-01-09
 My Bloody Valentine                                                      | 1981 | 1981-02-11
 Mad Max 2                                                                | 1981 | 1982-05-21
 The Man from Snowy River                                                 | 1982 | 1982-11-05
 Mad Max Beyond Thunderdome                                               | 1985 | 1985-07-10
 The Aviator                                                              | 1985 | 1985-03-15
 The Witches of Eastwick                                                  | 1987 | 1987-06-12
 The NeverEnding Story II: The Next Chapter                               | 1990 | 1991-02-08
 Lorenzo's Oil                                                            | 1992 | 1993-01-29
 Andre                                                                    | 1994 | 1994-08-17
 Babe: Pig in the City                                                    | 1998 | 1998-11-25
 Of Unknown Origin                                                        | 1983 | 1983-11-24
 Rambo: First Blood Part II                                               | 1985 | 1985-05-22
 Cobra                                                                    | 1986 | 1986-05-23
 Leviathan                                                                | 1989 | 1989-03-17
 Tombstone                                                                | 1993 | 1993-12-25
 The World According to Garp                                              | 1982 | 1982-07-23
 The Little Drummer Girl                                                  | 1984 | 1984-10-19
 Funny Farm                                                               | 1988 | 1988-06-03
 Oliver & Company                                                         | 1988 | 1988-11-18
 The Vanishing                                                            | 1993 | 1993-02-05
 Soul Food                                                                | 1997 | 1997-09-26
 La Cage aux Folles 3: The Wedding                                        | 1985 | 1986-02-14
 P.O.W. the Escape                                                        | 1986 | 1986-04-04
 10 Things I Hate About You                                               | 1999 | 1999-03-31
 Bordello of Blood                                                        | 1996 | 1996-08-16
 Oh, God! Book II                                                         | 1980 | 1980-10-03
 Mrs. Soffel                                                              | 1984 | 1985-02-08
 Little Women                                                             | 1994 | 1994-12-25
 Oscar and Lucinda                                                        | 1997 | 1997-12-31
 The Playboys                                                             | 1992 | 1992-04-22
 A Simple Twist of Fate                                                   | 1994 | 1994-09-02
 Hideous Kinky                                                            | 1998 | 1999-01-13
 Cinema Paradiso                                                          | 1988 | 1990-02-23
 Everybody's Fine                                                         | 1990 | 1991-05-31
 A Pure Formality                                                         | 1994 | 1995-05-26
 The Star Maker                                                           | 1995 | 1996-03-08
 The Legend of 1900                                                       | 1998 | 1998-10-28
 Clean and Sober                                                          | 1988 | 1988-08-10
 Love Affair                                                              | 1994 | 1994-10-21
 Picture Perfect                                                          | 1997 | 1997-08-01
 Only When I Laugh                                                        | 1981 | 1981-09-25
 The Buddy System                                                         | 1984 | 1984-01-20
 Mass Appeal                                                              | 1984 | 1984-12-14
 The Girl in a Swing                                                      | 1988 | 1989-09-29
 Windows                                                                  | 1980 | 1980-01-18
 Mousehunt                                                                | 1997 | 1997-12-19
 Frances                                                                  | 1982 | 1983-03-11
 Gleaming the Cube                                                        | 1989 | 1989-01-13
 Ruby Cairo                                                               | 1992 | 1993-10-29
 The Final Conflict                                                       | 1981 | 1981-03-20
 Impulse                                                                  | 1984 | 1984-09-28
 Alien Nation                                                             | 1988 | 1988-10-07
 License to Drive                                                         | 1988 | 1988-07-06
 Mom and Dad Save the World                                               | 1992 | 1992-07-24
 Bushwhacked                                                              | 1995 | 1995-08-04
 The Daytrippers                                                          | 1996 | 1997-03-05
 The Living End                                                           | 1992 | 1992-08-21
 Totally F***ed Up                                                        | 1993 | 1995-01-13
 The Doom Generation                                                      | 1995 | 1995-10-27
 Nowhere                                                                  | 1997 | 1997-05-09
 Short Time                                                               | 1990 | 1990-05-04
 The Cowboy Way                                                           | 1994 | 1994-06-03
 Primal Fear                                                              | 1996 | 1996-04-03
 Fallen                                                                   | 1998 | 1998-01-16
 My Family                                                                | 1995 | 1995-05-03
 Selena                                                                   | 1997 | 1997-03-21
 Why Do Fools Fall in Love                                                | 1998 | 1998-08-28
 The Prophecy                                                             | 1995 | 1995-09-01
 The Forbidden Dance                                                      | 1990 | 1990-03-16
 Addicted to Love                                                         | 1997 | 1997-05-23
 Practical Magic                                                          | 1998 | 1998-10-16
 Cronos                                                                   | 1993 | 1994-05-01
 Mimic                                                                    | 1997 | 1997-08-22
 Bhaji on the Beach                                                       | 1993 | 1994-05-01
 Take This Job and Shove It                                               | 1981 | 1981-05-15
 Drugstore Cowboy                                                         | 1989 | 1989-10-20
 My Own Private Idaho                                                     | 1991 | 1991-07-20
 Even Cowgirls Get the Blues                                              | 1993 | 1994-05-20
 To Die For                                                               | 1995 | 1995-10-06
 Good Will Hunting                                                        | 1997 | 1998-01-09
 Psycho                                                                   | 1998 | 1998-12-04
 Evil Under the Sun                                                       | 1982 | 1982-03-05
 Archangel                                                                | 1990 | 1990-09-01
 Lock, Stock and Two Smoking Barrels                                      | 1998 | 1998-08-28
 Lookin' to Get Out                                                       | 1982 | 1983-06-30
 The Slugger's Wife                                                       | 1985 | 1985-03-29
 8 Million Ways to Die                                                    | 1986 | 1986-04-25
 Warning Sign                                                             | 1985 | 1985-08-23
 The Unbelievable Truth                                                   | 1989 | 1990-11-08
 Trust                                                                    | 1990 | 1991-09-20
 Simple Men                                                               | 1992 | 1992-11-06
 Smokey and the Bandit II                                                 | 1980 | 1980-08-15
 The Cannonball Run                                                       | 1981 | 1981-06-19
 Megaforce                                                                | 1982 | 1982-06-25
 Stroker Ace                                                              | 1983 | 1983-07-01
 Cannonball Run II                                                        | 1984 | 1984-06-29
 Rad                                                                      | 1986 | 1986-03-28
 Body Slam                                                                | 1986 | 1987-05-21
 The Minus Man                                                            | 1999 | 1999-10-08
 Once Upon a Time in China III                                            | 1992 | 1993-02-11
 Double Team                                                              | 1997 | 1997-04-04
 Knock Off                                                                | 1998 | 1998-09-04
 Black Moon Rising                                                        | 1986 | 1986-01-10
 Malone                                                                   | 1987 | 1987-05-01
 Gummo                                                                    | 1997 | 1997-11-24
 Taps                                                                     | 1981 | 1981-12-25
 Vision Quest                                                             | 1985 | 1985-02-15
 Sea of Love                                                              | 1989 | 1989-09-15
 Malice                                                                   | 1993 | 1993-10-01
 City Hall                                                                | 1996 | 1996-02-16
 Mercury Rising                                                           | 1998 | 1998-04-03
 Caddyshack                                                               | 1980 | 1980-07-25
 National Lampoon's Vacation                                              | 1983 | 1983-07-29
 Club Paradise                                                            | 1986 | 1986-07-11
 Groundhog Day                                                            | 1993 | 1993-02-12
 Multiplicity                                                             | 1996 | 1996-07-17
 Analyze This                                                             | 1999 | 1999-03-05
 Can't Hardly Wait                                                        | 1998 | 1998-06-12
 Lord of the Flies                                                        | 1990 | 1990-03-16
 SpaceCamp                                                                | 1986 | 1986-06-06
 House Arrest                                                             | 1996 | 1996-08-14
 PCU                                                                      | 1994 | 1994-04-29
 High School High                                                         | 1996 | 1996-10-25
 Heaven and Earth                                                         | 1990 | 1991-02-08
 Bad Medicine                                                             | 1985 | 1985-11-22
 NausicaÃ¤ of the Valley of the Wind                                      | 1984 | 1987-11-25
 My Neighbor Totoro                                                       | 1988 | 1990-07-13
 Princess Mononoke                                                        | 1997 | 1997-12-19
 Kiss of the Spider Woman                                                 | 1985 | 1985-07-26
 Ironweed                                                                 | 1987 | 1988-02-12
 At Play in the Fields of the Lord                                        | 1991 | 1991-12-06
 The Rescuers Down Under                                                  | 1990 | 1990-11-16
 Oviri                                                                    | 1986 | 1986-09-05
 The Nightmare Before Christmas                                           | 1993 | 1993-10-29
 James and the Giant Peach                                                | 1996 | 1996-04-12
 Memories of Me                                                           | 1988 | 1988-10-07
 Cop & Â½                                                                 | 1993 | 1993-04-02
 Graduation Day                                                           | 1981 | 1981-05-01
 Tomboy                                                                   | 1985 | 1985-11-14
 Pennies from Heaven                                                      | 1981 | 1982-01-01
 I Ought to Be in Pictures                                                | 1982 | 1982-03-26
 Max Dugan Returns                                                        | 1983 | 1983-03-25
 Footloose                                                                | 1984 | 1984-02-17
 Protocol                                                                 | 1984 | 1984-12-21
 The Secret of My Success                                                 | 1987 | 1987-04-10
 Steel Magnolias                                                          | 1989 | 1989-11-22
 My Blue Heaven                                                           | 1990 | 1990-08-17
 True Colors                                                              | 1991 | 1991-03-15
 Undercover Blues                                                         | 1993 | 1993-09-10
 Boys on the Side                                                         | 1995 | 1995-02-03
 Beautiful Thing                                                          | 1996 | 1996-10-09
 One Good Cop                                                             | 1991 | 1991-05-03
 After Life                                                               | 1998 | 1999-04-17
 Spriggan                                                                 | 1998 | 1998-09-05
 Jin-Roh: The Wolf Brigade                                                | 1999 | 1999-11-17
 The Big Green                                                            | 1995 | 1995-09-29
 Mortuary                                                                 | 1983 | 1983-09-02
 Bloodhounds of Broadway                                                  | 1989 | 1989-11-03
 Pretty in Pink                                                           | 1986 | 1986-02-28
 Some Kind of Wonderful                                                   | 1987 | 1987-02-27
 The Great Outdoors                                                       | 1988 | 1988-06-17
 Article 99                                                               | 1992 | 1992-03-13
 Getting Even with Dad                                                    | 1994 | 1994-06-17
 Grumpier Old Men                                                         | 1995 | 1995-12-22
 The Odd Couple II                                                        | 1998 | 1998-04-10
 Quick Change                                                             | 1990 | 1990-07-13
 The Public Eye                                                           | 1992 | 1992-10-16
 Larger Than Life                                                         | 1996 | 1996-11-01
 Once Bitten                                                              | 1985 | 1985-11-15
 Private Benjamin                                                         | 1980 | 1980-10-10
 Unfaithfully Yours                                                       | 1984 | 1984-02-10
 The Dream Team                                                           | 1989 | 1989-04-07
 My Girl                                                                  | 1991 | 1991-11-27
 My Girl 2                                                                | 1994 | 1994-02-11
 Chariots of Fire                                                         | 1981 | 1982-04-09
 Greystoke: The Legend of Tarzan, Lord of the Apes                        | 1984 | 1984-03-30
 Revolution                                                               | 1985 | 1985-12-25
 Lost Angels                                                              | 1989 | 1989-05-05
 Police Academy                                                           | 1984 | 1984-03-23
 Rustlers' Rhapsody                                                       | 1985 | 1985-05-10
 Burglar                                                                  | 1987 | 1987-03-20
 Guarding Tess                                                            | 1994 | 1994-03-11
 The First Wives Club                                                     | 1996 | 1996-09-20
 Blast from the Past                                                      | 1998 | 1999-02-12
 Dudley Do-Right                                                          | 1999 | 1999-08-27
 Where the Boys Are                                                       | 1984 | 1984-04-06
 Belly                                                                    | 1998 | 1998-11-04
 Backbeat                                                                 | 1994 | 1994-04-15
 Hackers                                                                  | 1995 | 1995-09-15
 The Wings of the Dove                                                    | 1997 | 1998-03-13
 Came a Hot Friday                                                        | 1985 | 1985-10-04
 The Final Option                                                         | 1982 | 1983-09-16
 The Players Club                                                         | 1998 | 1998-04-08
 The Rugrats Movie                                                        | 1998 | 1998-11-20
 My Twentieth Century                                                     | 1989 | 1990-01-13
 Fanny and Alexander                                                      | 1982 | 1982-12-17
 The Adventures of Pinocchio                                              | 1984 | 1984-06-08
 Star Wars: Episode V - The Empire Strikes Back                           | 1980 | 1980-06-20
 Never Say Never Again                                                    | 1983 | 1983-10-07
 RoboCop 2                                                                | 1990 | 1990-06-22
 Guilty by Suspicion                                                      | 1991 | 1991-03-15
 Night and the City                                                       | 1992 | 1992-10-23
 The Net                                                                  | 1995 | 1995-07-28
 At First Sight                                                           | 1999 | 1999-01-15
 Colonel Redl                                                             | 1985 | 1985-10-04
 Cutter's Way                                                             | 1981 | 1982-02-10
 Creator                                                                  | 1985 | 1985-09-20
 Stripes                                                                  | 1981 | 1981-06-26
 Ghostbusters                                                             | 1984 | 1984-06-08
 Legal Eagles                                                             | 1986 | 1986-06-20
 Twins                                                                    | 1988 | 1988-12-09
 Ghostbusters II                                                          | 1989 | 1989-06-16
 Kindergarten Cop                                                         | 1990 | 1990-12-21
 Dave                                                                     | 1993 | 1993-05-07
 Junior                                                                   | 1994 | 1994-11-23
 Fathers' Day                                                             | 1997 | 1997-05-09
 Six Days Seven Nights                                                    | 1998 | 1998-06-12
 10 to Midnight                                                           | 1983 | 1983-03-11
 The Evil That Men Do                                                     | 1984 | 1984-09-21
 King Solomon's Mines                                                     | 1985 | 1985-11-22
 Murphy's Law                                                             | 1986 | 1986-04-18
 Firewalker                                                               | 1986 | 1986-11-21
 Death Wish 4: The Crackdown                                              | 1987 | 1987-11-06
 Messenger of Death                                                       | 1988 | 1988-09-17
 Kinjite: Forbidden Subjects                                              | 1989 | 1989-02-03
 The Hunted                                                               | 1995 | 1995-02-24
 Tampopo                                                                  | 1985 | 1987-09-01
 The Princess and the Goblin                                              | 1991 | 1994-06-03
 Child's Play 3                                                           | 1991 | 1991-08-30
 Something Wicked This Way Comes                                          | 1983 | 1983-04-29
 Raggedy Man                                                              | 1981 | 1981-09-18
 Violets Are Blue...                                                      | 1986 | 1986-04-25
 The Two Jakes                                                            | 1990 | 1990-08-10
 A Nightmare on Elm Street 2: Freddy's Revenge                            | 1985 | 1985-11-01
 The Hidden                                                               | 1987 | 1987-10-30
 Renegades                                                                | 1989 | 1989-06-02
 Loving Couples                                                           | 1980 | 1980-10-24
 Police Story                                                             | 1985 | 1985-12-14
 Operation Condor                                                         | 1991 | 1997-07-18
 Shadow of the Wolf                                                       | 1992 | 1993-03-05
 Le Pont du Nord                                                          | 1981 | 1982-03-24
 Wuthering Heights                                                        | 1985 | 1985-10-09
 The Beautiful Troublemaker                                               | 1991 | 1991-09-04
 The White Balloon                                                        | 1995 | 1995-01-01
 Zero Effect                                                              | 1998 | 1998-01-30
 Plunkett & Macleane                                                      | 1999 | 1999-04-02
 Penitentiary II                                                          | 1982 | 1982-04-02
 Cop                                                                      | 1988 | 1988-03-11
 Boiling Point                                                            | 1993 | 1993-04-16
 Homework                                                                 | 1982 | 1982-08-27
 Def by Temptation                                                        | 1990 | 1990-05-11
 Urban Cowboy                                                             | 1980 | 1980-06-06
 Mike's Murder                                                            | 1984 | 1984-03-09
 Perfect                                                                  | 1985 | 1985-06-07
 Bright Lights, Big City                                                  | 1988 | 1988-04-01
 Partners                                                                 | 1982 | 1982-04-30
 The Terminator                                                           | 1984 | 1984-10-26
 Aliens                                                                   | 1986 | 1986-07-18
 The Abyss                                                                | 1989 | 1989-08-09
 Terminator 2: Judgment Day                                               | 1991 | 1991-07-03
 True Lies                                                                | 1994 | 1994-07-15
 Titanic                                                                  | 1997 | 1997-12-19
 Heart Condition                                                          | 1990 | 1990-02-02
 Pascali's Island                                                         | 1988 | 1988-08-01
 A Kiss Before Dying                                                      | 1991 | 1991-04-26
 Still Breathing                                                          | 1997 | 1998-11-12
 Forced Vengeance                                                         | 1982 | 1982-07-30
 Reckless                                                                 | 1984 | 1984-02-03
 At Close Range                                                           | 1986 | 1986-04-18
 Who's That Girl                                                          | 1987 | 1987-08-07
 After Dark, My Sweet                                                     | 1990 | 1990-08-24
 Glengarry Glen Ross                                                      | 1992 | 1992-10-02
 Fear                                                                     | 1996 | 1996-04-12
 The Chamber                                                              | 1996 | 1996-10-11
 The Corruptor                                                            | 1999 | 1999-03-12
 Fraternity Vacation                                                      | 1985 | 1985-04-12
 The Soldier                                                              | 1982 | 1982-08-27
 The Protector                                                            | 1985 | 1985-08-23
 Shakedown                                                                | 1988 | 1988-05-06
 McBain                                                                   | 1991 | 1991-09-20
 When Time Ran Out...                                                     | 1980 | 1980-03-28
 Little Odessa                                                            | 1994 | 1995-05-19
 The Horror Show                                                          | 1989 | 1989-04-28
 Quartet                                                                  | 1981 | 1981-10-25
 Heat and Dust                                                            | 1983 | 1983-01-01
 The Bostonians                                                           | 1984 | 1984-10-05
 A Room with a View                                                       | 1985 | 1986-04-11
 Maurice                                                                  | 1987 | 1987-09-18
 Slaves of New York                                                       | 1989 | 1989-03-01
 Mr. & Mrs. Bridge                                                        | 1990 | 1991-01-18
 Howards End                                                              | 1992 | 1993-02-26
 The Remains of the Day                                                   | 1993 | 1993-11-19
 Jefferson in Paris                                                       | 1995 | 1995-03-31
 Surviving Picasso                                                        | 1996 | 1996-09-20
 Porky's Revenge                                                          | 1985 | 1985-03-22
 Terms of Endearment                                                      | 1983 | 1983-12-09
 Broadcast News                                                           | 1987 | 1987-12-25
 As Good as It Gets                                                       | 1997 | 1997-12-25
 Hangar 18                                                                | 1980 | 1981-03-13
 Impromptu                                                                | 1991 | 1991-05-01
 Life with Mikey                                                          | 1993 | 1993-06-04
 Heavy                                                                    | 1995 | 1996-06-05
