Find the movies released before January 1st, 2000?
select M.name,M.year,R.date from movies M join released R on M.movie_id=R.movie_id where R.date<2000-01-01;
                                   name                                   | year |    date    
 Election                                                                 | 1999 | 1999-05-07
 In the Soup                                                              | 1992 | 1992-08-13
 Como agua para chocolate                                                 | 1992 | 1993-05-28
 A Walk in the Clouds                                                     | 1995 | 1995-08-11
 SÃ³lo con tu pareja                                                      | 1991 | 1992-12-25
 A Little Princess                                                        | 1995 | 1995-05-19
 Great Expectations                                                       | 1998 | 1998-01-30
 Death Wish: The Face of Death                                            | 1994 | 1994-01-14
 Heartbeeps                                                               | 1981 | 1981-12-18
 Get Crazy                                                                | 1983 | 1983-08-05
 Caddyshack II                                                            | 1988 | 1988-07-22
 Just Between Friends                                                     | 1986 | 1986-03-21
 Silence of the North                                                     | 1981 | 1981-10-23
 Pump Up the Volume                                                       | 1990 | 1990-08-22
 The Gun in Betty Lou's Handbag                                           | 1992 | 1992-08-21
 Empire Records                                                           | 1995 | 1995-10-20
 Gas Food Lodging                                                         | 1992 | 1992-07-10
 Mi vida loca                                                             | 1993 | 1994-07-15
 Grace of My Heart                                                        | 1996 | 1996-09-13
 Fast Times at Ridgemont High                                             | 1982 | 1982-08-13
 National Lampoon's European Vacation                                     | 1985 | 1985-07-26
 Look Who's Talking                                                       | 1989 | 1989-10-13
 Look Who's Talking Too                                                   | 1990 | 1990-12-14
 Clueless                                                                 | 1995 | 1995-07-19
 Love Letters                                                             | 1983 | 1984-04-27
 Maid to Order                                                            | 1987 | 1987-07-31
 Nostalghia                                                               | 1983 | 1992-03-01
 The Sacrifice                                                            | 1986 | 1986-05-09
 The Freshman                                                             | 1990 | 1990-07-27
 Honeymoon in Vegas                                                       | 1992 | 1992-08-28
 It Could Happen to You                                                   | 1994 | 1994-07-29
 Striptease                                                               | 1996 | 1996-06-28
 The Cement Garden                                                        | 1993 | 1994-02-11
 Code of Silence                                                          | 1985 | 1985-05-03
 Above the Law                                                            | 1988 | 1988-04-22
 The Package                                                              | 1989 | 1989-08-25
 Under Siege                                                              | 1992 | 1992-10-09
 The Fugitive                                                             | 1993 | 1993-08-06
 Chain Reaction                                                           | 1996 | 1996-08-02
 A Perfect Murder                                                         | 1998 | 1998-06-05
 Bad Dreams                                                               | 1988 | 1988-04-08
 Threesome                                                                | 1994 | 1994-04-08
 The Craft                                                                | 1996 | 1996-05-03
 Dick                                                                     | 1999 | 1999-08-04
 Jake Speed                                                               | 1986 | 1986-05-30
 Mortal Passions                                                          | 1989 | 1990-01-26
 Highlander: The Final Dimension                                          | 1994 | 1995-01-27
 Gattaca                                                                  | 1997 | 1997-10-24
 Little Big League                                                        | 1994 | 1994-06-29
 Fair Game                                                                | 1995 | 1995-11-03
 Sahara                                                                   | 1983 | 1984-03-02
 Runaway Train                                                            | 1985 | 1986-01-17
 Duet for One                                                             | 1986 | 1987-02-01
 Shy People                                                               | 1987 | 1988-03-11
 Tango & Cash                                                             | 1989 | 1989-12-22
 The Inner Circle                                                         | 1991 | 1991-12-25
 Possession                                                               | 1981 | 1983-10-28
 Leave It to Beaver                                                       | 1997 | 1997-08-22
 It Takes Two                                                             | 1995 | 1995-11-17
 Fools Rush In                                                            | 1997 | 1997-02-14
 Ever After: A Cinderella Story                                           | 1998 | 1998-07-31
 Anna and the King                                                        | 1999 | 1999-12-17
 Playing God                                                              | 1997 | 1997-10-17
 Traces of Red                                                            | 1992 | 1992-11-11
 The Wedding Banquet                                                      | 1993 | 1993-08-04
 Eat Drink Man Woman                                                      | 1994 | 1994-08-03
 Sense and Sensibility                                                    | 1995 | 1996-01-26
 The Ice Storm                                                            | 1997 | 1997-11-26
 Ride with the Devil                                                      | 1999 | 1999-11-05
 The Scent of Green Papaya                                                | 1993 | 1994-01-28
 D.O.A.                                                                   | 1988 | 1988-03-18
 Super Mario Bros.                                                        | 1993 | 1993-05-28
 Fatso                                                                    | 1980 | 1980-02-01
 Better Than Chocolate                                                    | 1999 | 1999-08-13
 Foxfire                                                                  | 1996 | 1996-08-23
 Zebrahead                                                                | 1992 | 1992-10-23
 Hurlyburly                                                               | 1998 | 1998-12-25
 Waxwork                                                                  | 1988 | 1988-06-17
 Hellraiser III: Hell on Earth                                            | 1992 | 1992-09-11
 Warlock: The Armageddon                                                  | 1993 | 1993-09-24
 Truly Madly Deeply                                                       | 1990 | 1991-05-24
