List all the directors that have directed ‘Action’ movies.
SELECT first, last, title, name, genre FROM movies natural join directed natural join casts WHERE genre = Action;
        first        |       last       | title |                           name                           | genre  
 Antoine             | Fuqua            |       | Southpaw                                                 | Action
 Antoine             | Fuqua            |       | The Magnificent Seven                                    | Action
 Antoine             | Fuqua            |       | The Equalizer 2                                          | Action
 Antonio             | Margheriti       |       | Yor, the Hunter from the Future                          | Action
 Antony              | Hoffman          |       | Red Planet                                               | Action
 Anurag              | Kashyap          |       | Black Friday                                             | Action
 Ariel               | Vromen           |       | Criminal                                                 | Action
 Arne                | Glimcher         |       | Just Cause                                               | Action
 Arthur Allan        | Seidelman        |       | Rescue Me                                                | Action
 Asger               | Leth             |       | Man on a Ledge                                           | Action
 Avi                 | Nesher           |       | Timebomb                                                 | Action
 Babak               | Najafi           |       | London Has Fallen                                        | Action
 Baltasar            | KormÃ¡kur        |       | Contraband                                               | Action
 Baltasar            | KormÃ¡kur        |       | 2 Guns                                                   | Action
 Baltasar            | KormÃ¡kur        |       | Everest                                                  | Action
 Baltasar            | KormÃ¡kur        |       | Adrift                                                   | Action
 Baran bo            | Odar             |       | Sleepless                                                | Action
 Barbet              | Schroeder        |       | Desperate Measures                                       | Action
 Barry               | Levinson         |       | Sphere                                                   | Action
 Barry               | Sonnenfeld       |       | Men in Black                                             | Action
 Barry               | Sonnenfeld       |       | Wild Wild West                                           | Action
 Barry               | Sonnenfeld       |       | Men in Black II                                          | Action
 Barry               | Sonnenfeld       |       | Men in Black 3                                           | Action
 Bart                | Freundlich       |       | Catch That Kid                                           | Action
 Ben                 | Affleck          |       | Live by Night                                            | Action
 Ben                 | Stiller          |       | Tropic Thunder                                           | Action
 Ben                 | Stiller          |       | Zoolander 2                                              | Action
 Ben                 | Wheatley         |       | Kill List                                                | Action
 Ben                 | Wheatley         |       | Free Fire                                                | Action
 Betty               | Thomas           |       | I Spy                                                    | Action
 Bill                | Duke             |       | Deep Cover                                               | Action
 Blake               | Edwards          |       | A Fine Mess                                              | Action
 Boaz                | Yakin            |       | Safe                                                     | Action
 Bob                 | Clark            |       | Loose Cannons                                            | Action
 Bob                 | Spiers           |       | That Darn Cat                                            | Action
 Bong Joon           | Ho               |       | The Host                                                 | Action
 Bong Joon           | Ho               |       | Snowpiercer                                              | Action
 Brad                | Bird             |       | Mission: Impossible - Ghost Protocol                     | Action
 Brad                | Bird             |       | Tomorrowland                                             | Action
 Brad                | Peyton           |       | Journey 2: The Mysterious Island                         | Action
 Brad                | Peyton           |       | San Andreas                                              | Action
 Brad                | Peyton           |       | Rampage                                                  | Action
 Brad                | Silberling       |       | Land of the Lost                                         | Action
 Breck               | Eisner           |       | Sahara                                                   | Action
 Breck               | Eisner           |       | The Last Witch Hunter                                    | Action
 Brett               | Leonard          |       | Virtuosity                                               | Action
 Brett               | Leonard          |       | Man-Thing                                                | Action
 Brett               | Ratner           |       | Money Talks                                              | Action
 Brett               | Ratner           |       | Rush Hour                                                | Action
 Brett               | Ratner           |       | Rush Hour 2                                              | Action
 Brett               | Ratner           |       | After the Sunset                                         | Action
 Brett               | Ratner           |       | X-Men: the Last Stand                                    | Action
 Brett               | Ratner           |       | Rush Hour 3                                              | Action
 Brett               | Ratner           |       | Tower Heist                                              | Action
 Brett               | Ratner           |       | Hercules                                                 | Action
 Brian De            | Palma            |       | Casualties of War                                        | Action
 Brian De            | Palma            |       | Mission: Impossible                                      | Action
 Brian               | Helgeland        |       | Payback                                                  | Action
 Brian               | Helgeland        |       | A Knight's Tale                                          | Action
 Brian               | Henson           |       | Muppet Treasure Island                                   | Action
 Brian               | Henson           |       | The Happytime Murders                                    | Action
 Brian               | Levant           |       | The Spy Next Door                                        | Action
 Bruce A.            | Evans            |       | Kuffs                                                    | Action
 Bruce               | Hunt             |       | The Cave                                                 | Action
 Bruce               | Malmuth          |       | Nighthawks                                               | Action
 Bruce               | Malmuth          |       | The Man Who Wasn't There                                 | Action
 Bruce               | Malmuth          |       | Hard to Kill                                             | Action
 Bryan               | Singer           |       | X-Men                                                    | Action
 Bryan               | Singer           |       | X2: X-Men United                                         | Action
 Bryan               | Singer           |       | Superman Returns                                         | Action
 Bryan               | Singer           |       | X-Men: Days of Future Past                               | Action
 Bryan               | Singer           |       | X-Men: Apocalypse                                        | Action
 Bryan               | Spicer           |       | Mighty Morphin Power Rangers: The Movie                  | Action
 Bryan               | Spicer           |       | McHale's Navy                                            | Action
 Buddy Van           | Horn             |       | Any Which Way You Can                                    | Action
 Buddy Van           | Horn             |       | The Dead Pool                                            | Action
 Buddy Van           | Horn             |       | Pink Cadillac                                            | Action
 Burr                | Steers           |       | Pride and Prejudice and Zombies                          | Action
 Burt                | Kennedy          |       | Suburban Commando                                        | Action
 Burt                | Reynolds         |       | Sharky's Machine                                         | Action
 Burt                | Reynolds         |       | Stick                                                    | Action
 Byeong-heon         | Lee              |       | Extreme Job                                              | Action
 Byung-gil           | Jung             |       | The Villainess                                           | Action
 Camille             | Delamarre        |       | Brick Mansions                                           | Action
 Camille             | Delamarre        |       | The Transporter Refueled                                 | Action
 Carl                | Rinsch           |       | 47 Ronin                                                 | Action
 Carl                | Schenkel         |       | The Mighty Quinn                                         | Action
 Carroll             | Ballard          |       | Wind                                                     | Action
 Catherine           | Hardwicke        |       | Miss Bala                                                | Action
 Cathy               | Yan              |       | Birds of Prey                                            | Action
 Cedric              | Nicolas-Troyan   |       | The Huntsman: Winter's War                               | Action
 Cedric              | Sundstrom        |       | American Ninja 3: Blood Hunt                             | Action
 Cedric              | Sundstrom        |       | American Ninja 4: The Annihilation                       | Action
 Chad                | Stahelski        |       | John Wick                                                | Action
 Chad                | Stahelski        |       | John Wick: Chapter 2                                     | Action
 Chad                | Stahelski        |       | John Wick: Chapter 3 - Parabellum                        | Action
 Charles             | Band             |       | Metalstorm: the Destruction of Jared-Syn                 | Action
 Charles             | Shyer            |       | I Love Trouble                                           | Action
 Charles Stone       | III              |       | Paid in Full                                             | Action
 Charles T.          | Kanganis         |       | 3 Ninjas Kick Back                                       | Action
 Chia-Liang          | Liu              |       | The Legend of Drunken Master                             | Action
 Chris               | Columbus         |       | Pixels                                                   | Action
 Chris               | Gorak            |       | The Darkest Hour                                         | Action
 Chris               | Nahon            |       | Kiss of the Dragon                                       | Action
 Chris               | Roberts          |       | Wing Commander                                           | Action
 Christian           | Alvart           |       | Pandorum                                                 | Action
 Christian           | Duguay           |       | The Assignment                                           | Action
 Christian           | Duguay           |       | The Art of War                                           | Action
 Christian           | Gudegast         |       | Den of Thieves                                           | Action
 Christian           | Rivers           |       | Mortal Engines                                           | Action
 Christophe          | Gans             |       | Brotherhood of the Wolf                                  | Action
 Christopher         | Cain             |       | The Principal                                            | Action
 Christopher         | Cain             |       | Young Guns                                               | Action
 Christopher         | Cain             |       | The Next Karate Kid                                      | Action
 Christopher         | Crowe            |       | Off Limits                                               | Action
 Christopher         | Landon           |       | Scouts Guide to the Zombie Apocalypse                    | Action
 Christopher         | McQuarrie        |       | The Way of the Gun                                       | Action
 Christopher         | McQuarrie        |       | Jack Reacher                                             | Action
 Christopher         | McQuarrie        |       | Mission: Impossible - Rogue Nation                       | Action
 Christopher         | McQuarrie        |       | Mission: Impossible - Fallout                            | Action
 Christopher         | Nolan            |       | Batman Begins                                            | Action
 Christopher         | Nolan            |       | The Dark Knight                                          | Action
 Christopher         | Nolan            |       | Inception                                                | Action
 Christopher         | Nolan            |       | The Dark Knight Rises                                    | Action
 Christopher         | Nolan            |       | Dunkirk                                                  | Action
 Christopher         | Nolan            |       | Tenet                                                    | Action
 Christopher         | Smith            |       | Black Death                                              | Action
 Chuck               | Russell          |       | The Mask                                                 | Action
 Chuck               | Russell          |       | Eraser                                                   | Action
 Chuck               | Russell          |       | The Scorpion King                                        | Action
 Chuck               | Russell          |       | Junglee                                                  | Action
 Cirio H.            | Santiago         |       | Stryker                                                  | Action
 Clarence            | Fok              |       | Naked Killer                                             | Action
 Clark               | Johnson          |       | S.W.A.T.                                                 | Action
 Clark               | Johnson          |       | The Sentinel                                             | Action
 Clint               | Eastwood         |       | Bronco Billy                                             | Action
 Clint               | Eastwood         |       | Firefox                                                  | Action
 Clint               | Eastwood         |       | Sudden Impact                                            | Action
 Clint               | Eastwood         |       | The Rookie                                               | Action
 Clint               | Eastwood         |       | Absolute Power                                           | Action
 Clint               | Eastwood         |       | Space Cowboys                                            | Action
 Clint               | Eastwood         |       | Blood Work                                               | Action
 Clint               | Eastwood         |       | Letters from Iwo Jima                                    | Action
 Clint               | Eastwood         |       | Flags of Our Fathers                                     | Action
 Clint               | Eastwood         |       | American Sniper                                          | Action
 Clive               | Barker           |       | Nightbreed                                               | Action
 Clive               | Donner           |       | The Nude Bomb                                            | Action
 Colin               | Strause          |       | Aliens vs. Predator: Requiem                             | Action
 Colin               | Strause          |       | Skyline                                                  | Action
 Colin               | Trevorrow        |       | Jurassic World                                           | Action
 Coralie             | Fargeat          |       | Revenge                                                  | Action
 Corey               | Yuen             |       | No Retreat, No Surrender                                 | Action
 Corey               | Yuen             |       | DOA: Dead or Alive                                       | Action
 Courtney            | Solomon          |       | Dungeons & Dragons                                       | Action
 Courtney            | Solomon          |       | Getaway                                                  | Action
 Craig               | Gillespie        |       | The Finest Hours                                         | Action
 Craig               | Mazin            |       | The Specials                                             | Action
 Craig               | Mazin            |       | Superhero Movie                                          | Action
 Craig R.            | Baxley           |       | Action Jackson                                           | Action
 Craig R.            | Baxley           |       | Dark Angel                                               | Action
 Craig R.            | Baxley           |       | Stone Cold                                               | Action
 Crispian            | Mills            |       | Slaughterhouse Rulez                                     | Action
 D.J.                | Caruso           |       | Eagle Eye                                                | Action
 D.J.                | Caruso           |       | I Am Number Four                                         | Action
 D.J.                | Caruso           |       | xXx: Return of Xander Cage                               | Action
 Dan                 | Bradley          |       | Red Dawn                                                 | Action
 Dan                 | Trachtenberg     |       | 10 Cloverfield Lane                                      | Action
 Daniel              | Alfredson        |       | The Girl Who Played with Fire                            | Action
 Daniel              | Barber           |       | Harry Brown                                              | Action
 Daniel              | Espinosa         |       | Snabba Cash                                              | Action
 Daniel              | Espinosa         |       | Safe House                                               | Action
 Daniel              | Lee              |       | Dragon Blade                                             | Action
