List all the directors that have directed ‘Action’ movies.
SELECT first, last, title, name, genre FROM movies natural join directed natural join casts WHERE genre = Action;
        first        |       last       | title |                           name                           | genre  
 Ethan               | Maniquis         |       | Machete                                                  | Action
 Evan                | Goldberg         |       | The Interview                                            | Action
 F. Gary             | Gray             |       | Set It Off                                               | Action
 F. Gary             | Gray             |       | The Negotiator                                           | Action
 F. Gary             | Gray             |       | The Italian Job                                          | Action
 F. Gary             | Gray             |       | A Man Apart                                              | Action
 F. Gary             | Gray             |       | Law Abiding Citizen                                      | Action
 F. Gary             | Gray             |       | The Fate of the Furious                                  | Action
 F. Gary             | Gray             |       | Men in Black: International                              | Action
 FÃ©lix EnrÃ­quez    | AlcalÃ¡          |       | Fire Down Below                                          | Action
 Farah               | Khan             |       | Main Hoon Na                                             | Action
 Farah               | Khan             |       | Om Shanti Om                                             | Action
 Farhad              | Mann             |       | Lawnmower Man 2: Beyond Cyberspace                       | Action
 Farhan              | Akhtar           |       | Lakshya                                                  | Action
 Fede                | Alvarez          |       | The Girl in the Spider's Web                             | Action
 Ferdinand           | Fairfax          |       | Nate and Hayes                                           | Action
 Florent-Emilio      | Siri             |       | Hostage                                                  | Action
 Florian Henckel von | Donnersmarck     |       | The Tourist                                              | Action
 Fran Rubel          | Kuzui            |       | Buffy the Vampire Slayer                                 | Action
 FranÃ§ois           | Simard           |       | Turbo Kid                                                | Action
 Francis             | Lawrence         |       | Constantine                                              | Action
 Francis             | Lawrence         |       | I Am Legend                                              | Action
 Francis             | Lawrence         |       | The Hunger Games: Catching Fire                          | Action
 Francis             | Lawrence         |       | The Hunger Games: Mockingjay - Part 1                    | Action
 Francis             | Lawrence         |       | The Hunger Games: Mockingjay - Part 2                    | Action
 Francis             | Lawrence         |       | Red Sparrow                                              | Action
 Francis             | Megahy           |       | Taffin                                                   | Action
 Francis             | Veber            |       | Three Fugitives                                          | Action
 Franco              | Amurri           |       | Flashback                                                | Action
 Frank               | Coraci           |       | Around the World in 80 Days                              | Action
 Frank               | Coraci           |       | Here Comes the Boom                                      | Action
 Frank               | Harris           |       | Low Blow                                                 | Action
 Frank               | Marshall         |       | Congo                                                    | Action
 Frank               | Miller           |       | The Spirit                                               | Action
 Frank               | Miller           |       | Sin City: A Dame to Kill for                             | Action
 Frank               | Oz               |       | The Score                                                | Action
 Frant               | Gwo              |       | The Wandering Earth                                      | Action
 Fred                | Dekker           |       | The Monster Squad                                        | Action
 Fred                | Dekker           |       | RoboCop 3                                                | Action
 Fred Olen           | Ray              |       | Armed Response                                           | Action
 Fred Olen           | Ray              |       | Cyclone                                                  | Action
 Frederik Du         | Chau             |       | Underdog                                                 | Action
 Fredrik             | Bond             |       | Charlie Countryman                                       | Action
 Fritz               | Kiersch          |       | Tuff Turf                                                | Action
 GÃ©rard             | Krawczyk         |       | Taxi 2                                                   | Action
 GÃ©rard             | Krawczyk         |       | Wasabi                                                   | Action
 GÃ©rard             | Krawczyk         |       | Taxi 3                                                   | Action
 GÃ©rard             | PirÃ¨s           |       | Taxi                                                     | Action
 Gareth              | Edwards          |       | Godzilla                                                 | Action
 Gareth              | Edwards          |       | Rogue One: A Star Wars Story                             | Action
 Gareth              | Evans            |       | The Raid: Redemption                                     | Action
 Gareth              | Evans            |       | The Raid 2                                               | Action
 Garth               | Jennings         |       | Son of Rambow                                            | Action
 Gary                | Fleder           |       | Homefront                                                | Action
 Gary                | Goddard          |       | Masters of the Universe                                  | Action
 Gary                | Hudson           |       | Thunder Run                                              | Action
 Gary                | McKendry         |       | Killer Elite                                             | Action
 Gary                | Nelson           |       | Allan Quatermain and the Lost City of Gold               | Action
 Gary                | Ross             |       | The Hunger Games                                         | Action
 Gary                | Ross             |       | Free State of Jones                                      | Action
 Gary                | Ross             |       | Ocean's Eight                                            | Action
 Gary                | Sherman          |       | Vice Squad                                               | Action
 Gary                | Sherman          |       | Wanted: Dead or Alive                                    | Action
 Gary                | Shore            |       | Dracula Untold                                           | Action
 Gary                | Sinise           |       | Miles from Home                                          | Action
 Gavin               | Hood             |       | X-Men Origins: Wolverine                                 | Action
 Gavin               | Hood             |       | Ender's Game                                             | Action
 Gavin               | Hood             |       | Eye in the Sky                                           | Action
 Gavin               | O'Connor         |       | Warrior                                                  | Action
 Gavin               | O'Connor         |       | The Accountant                                           | Action
 Gene                | Quintano         |       | Loaded Weapon 1                                          | Action
 Geoff               | Burrowes         |       | Run                                                      | Action
 Geoff               | Murphy           |       | Young Guns II                                            | Action
 Geoff               | Murphy           |       | Freejack                                                 | Action
 Geoff               | Murphy           |       | Under Siege 2: Dark Territory                            | Action
 Geoffrey            | Sax              |       | Stormbreaker                                             | Action
 George              | Armitage         |       | Grosse Pointe Blank                                      | Action
 George              | Lucas            |       | Star Wars: Episode I - The Phantom Menace                | Action
 George              | Lucas            |       | Star Wars: Episode II - Attack of the Clones             | Action
 George              | Lucas            |       | Star Wars: Episode III - Revenge of the Sith             | Action
 George              | Miller           |       | Mad Max 2                                                | Action
 George              | Miller           |       | Mad Max Beyond Thunderdome                               | Action
 George              | Miller           |       | Mad Max: Fury Road                                       | Action
 George P.           | Cosmatos         |       | Rambo: First Blood Part II                               | Action
 George P.           | Cosmatos         |       | Cobra                                                    | Action
 George P.           | Cosmatos         |       | Tombstone                                                | Action
 George              | Tillman          | Jr.   | Faster                                                   | Action
 Gerard              | McMurray         |       | The First Purge                                          | Action
 Gideon              | Amir             |       | P.O.W. the Escape                                        | Action
 Gordon              | Chan             |       | The Medallion                                            | Action
 Gore                | Verbinski        |       | Pirates of the Caribbean: the Curse of the Black Pearl   | Action
 Gore                | Verbinski        |       | Pirates of the Caribbean: Dead Man's Chest               | Action
 Gore                | Verbinski        |       | Pirates of the Caribbean: at World's End                 | Action
 Gore                | Verbinski        |       | The Lone Ranger                                          | Action
 Graeme              | Clifford         |       | Gleaming the Cube                                        | Action
 Graham              | Baker            |       | Alien Nation                                             | Action
 Greg                | McLean           |       | Rogue                                                    | Action
 Greg                | Mottola          |       | Keeping Up with the Joneses                              | Action
 Gregg               | Champion         |       | The Cowboy Way                                           | Action
 Gregor              | Jordan           |       | Ned Kelly                                                | Action
 Gregory             | Dark             |       | See No Evil                                              | Action
 Gregory             | Hoblit           |       | Fallen                                                   | Action
 Gregory             | Widen            |       | The Prophecy                                             | Action
 Guillaume           | Canet            |       | Blood Ties                                               | Action
 Guillermo del       | Toro             |       | Blade II                                                 | Action
 Guillermo del       | Toro             |       | Hellboy                                                  | Action
 Guillermo del       | Toro             |       | Hellboy II: the Golden Army                              | Action
 Guillermo del       | Toro             |       | Pacific Rim                                              | Action
 Guy                 | Ritchie          |       | Lock, Stock and Two Smoking Barrels                      | Action
 Guy                 | Ritchie          |       | Revolver                                                 | Action
 Guy                 | Ritchie          |       | RocknRolla                                               | Action
 Guy                 | Ritchie          |       | Sherlock Holmes                                          | Action
 Guy                 | Ritchie          |       | Sherlock Holmes: A Game of Shadows                       | Action
 Guy                 | Ritchie          |       | The Man from U.N.C.L.E.                                  | Action
 Guy                 | Ritchie          |       | King Arthur: Legend of the Sword                         | Action
 Hal                 | Ashby            |       | 8 Million Ways to Die                                    | Action
 Hal                 | Needham          |       | Smokey and the Bandit II                                 | Action
 Hal                 | Needham          |       | The Cannonball Run                                       | Action
 Hal                 | Needham          |       | Megaforce                                                | Action
 Hal                 | Needham          |       | Stroker Ace                                              | Action
 Hal                 | Needham          |       | Cannonball Run II                                        | Action
 Hans Petter         | Moland           |       | Cold Pursuit                                             | Action
 Hany                | Abu-Assad        |       | The Mountain Between Us                                  | Action
 Harald              | Zwart            |       | Agent Cody Banks                                         | Action
 Harald              | Zwart            |       | The Pink Panther 2                                       | Action
 Harald              | Zwart            |       | The Karate Kid                                           | Action
 Harald              | Zwart            |       | The Mortal Instruments: City of Bones                    | Action
 Hark                | Tsui             |       | Once Upon a Time in China III                            | Action
 Hark                | Tsui             |       | Double Team                                              | Action
 Hark                | Tsui             |       | Knock Off                                                | Action
 Harley              | Cokeliss         |       | Black Moon Rising                                        | Action
 Harley              | Cokeliss         |       | Malone                                                   | Action
 Harold              | Becker           |       | Mercury Rising                                           | Action
 Haruki              | Kadokawa         |       | Heaven and Earth                                         | Action
 Heitor              | Dhalia           |       | Gone                                                     | Action
 Henry               | Joost            |       | Nerve                                                    | Action
 Heywood             | Gould            |       | One Good Cop                                             | Action
 Hideaki             | Anno             |       | Shin Godzilla                                            | Action
 Howard              | McCain           |       | Outlander                                                | Action
 Hu                  | Guan             |       | The Eight Hundred                                        | Action
 Hun                 | Jang             |       | A Taxi Driver                                            | Action
 Ian                 | Sharp            |       | The Final Option                                         | Action
 Ilya                | Naishuller       |       | Hardcore Henry                                           | Action
 Indra               | Kumar            |       | Total Dhamaal                                            | Action
 Irvin               | Kershner         |       | Star Wars: Episode V - The Empire Strikes Back           | Action
 Irvin               | Kershner         |       | Never Say Never Again                                    | Action
 Irvin               | Kershner         |       | RoboCop 2                                                | Action
 Irwin               | Winkler          |       | The Net                                                  | Action
 Ivan                | Reitman          |       | Ghostbusters                                             | Action
 Ivan                | Reitman          |       | Ghostbusters II                                          | Action
 Ivan                | Reitman          |       | Kindergarten Cop                                         | Action
 Ivan                | Reitman          |       | Six Days Seven Nights                                    | Action
 J                   | Blakeson         |       | The 5th Wave                                             | Action
 J. Lee              | Thompson         |       | The Evil That Men Do                                     | Action
 J. Lee              | Thompson         |       | King Solomon's Mines                                     | Action
 J. Lee              | Thompson         |       | Murphy's Law                                             | Action
 J. Lee              | Thompson         |       | Firewalker                                               | Action
 J. Lee              | Thompson         |       | Death Wish 4: The Crackdown                              | Action
 J. Lee              | Thompson         |       | Messenger of Death                                       | Action
 J. Lee              | Thompson         |       | Kinjite: Forbidden Subjects                              | Action
 J.A.                | Bayona           |       | Jurassic World: Fallen Kingdom                           | Action
 J.C.                | Chandor          |       | All Is Lost                                              | Action
 J.C.                | Chandor          |       | A Most Violent Year                                      | Action
 J.F.                | Lawton           |       | The Hunted                                               | Action
 J.J.                | Abrams           |       | Mission: Impossible III                                  | Action
 J.J.                | Abrams           |       | Star Trek                                                | Action
 J.J.                | Abrams           |       | Star Trek Into Darkness                                  | Action
 J.J.                | Abrams           |       | Star Wars: Episode VII - The Force Awakens               | Action
 J.J.                | Abrams           |       | Star Wars: Episode IX - The Rise of Skywalker            | Action
 Jack                | Sholder          |       | Renegades                                                | Action
 Jackie              | Chan             |       | Police Story                                             | Action
 Jackie              | Chan             |       | Operation Condor                                         | Action
 Jake                | Kasdan           |       | Jumanji: Welcome to the Jungle                           | Action
 Jake                | Kasdan           |       | Jumanji: The Next Level                                  | Action
 Jake                | Scott            |       | Plunkett & Macleane                                      | Action
 Jalmari             | Helander         |       | Big Game                                                 | Action
 James B.            | Harris           |       | Boiling Point                                            | Action
 James               | Cameron          |       | The Terminator                                           | Action
 James               | Cameron          |       | Aliens                                                   | Action
 James               | Cameron          |       | Terminator 2: Judgment Day                               | Action
 James               | Cameron          |       | True Lies                                                | Action
 James               | Cameron          |       | Avatar                                                   | Action
 James               | DeMonaco         |       | The Purge: Anarchy                                       | Action
 James               | DeMonaco         |       | The Purge: Election Year                                 | Action
 James               | Fargo            |       | Forced Vengeance                                         | Action
 James               | Foley            |       | The Corruptor                                            | Action
 James               | Glickenhaus      |       | The Soldier                                              | Action
 James               | Glickenhaus      |       | The Protector                                            | Action
 James               | Glickenhaus      |       | Shakedown                                                | Action
 James               | Glickenhaus      |       | McBain                                                   | Action
 James               | Goldstone        |       | When Time Ran Out...                                     | Action
 James               | Gray             |       | We Own the Night                                         | Action
 James               | Gunn             |       | Super                                                    | Action
 James               | Gunn             |       | Guardians of the Galaxy                                  | Action
 James               | Gunn             |       | Guardians of the Galaxy Vol. 2                           | Action
 James               | Isaac            |       | Jason X                                                  | Action
 James               | Isaac            |       | Skinwalkers                                              | Action
 James               | Mangold          |       | 3:10 to Yuma                                             | Action
 James               | Mangold          |       | Knight and Day                                           | Action
 James               | Mangold          |       | The Wolverine                                            | Action
 James               | Mangold          |       | Logan                                                    | Action
 James               | Mangold          |       | Ford v Ferrari                                           | Action
 James               | Mather           |       | Lockout                                                  | Action
 James               | McTeigue         |       | V for Vendetta                                           | Action
 James               | McTeigue         |       | Ninja Assassin                                           | Action
 James               | Sbardellati      |       | Deathstalker                                             | Action
 James               | Wan              |       | Death Sentence                                           | Action
 James               | Wan              |       | Furious 7                                                | Action
 James               | Wan              |       | Aquaman                                                  | Action
 James               | Watkins          |       | The Take                                                 | Action
 James               | Wong             |       | The One                                                  | Action
 James               | Wong             |       | Dragonball Evolution                                     | Action
 James               | Yukich           |       | Double Dragon                                            | Action
 Jamie M.            | Dagg             |       | Sweet Virginia                                           | Action
 Jan de              | Bont             |       | Speed                                                    | Action
 Jan de              | Bont             |       | Twister                                                  | Action
 Jan de              | Bont             |       | Speed 2: Cruise Control                                  | Action
 Jan de              | Bont             |       | Lara Croft Tomb Raider: The Cradle of Life               | Action
 Jason               | Eisener          |       | Hobo with a Shotgun                                      | Action
 Jason               | Kwan             |       | Chasing the Dragon II: Wild Wild Bunch                   | Action
 Jaume               | Collet-Serra     |       | Unknown                                                  | Action
 Jaume               | Collet-Serra     |       | Non-Stop                                                 | Action
 Jaume               | Collet-Serra     |       | Run All Night                                            | Action
 Jaume               | Collet-Serra     |       | The Shallows                                             | Action
 Jaume               | Collet-Serra     |       | The Commuter                                             | Action
 Jay                 | Roach            |       | Austin Powers: the Spy Who Shagged Me                    | Action
 Jay                 | Roach            |       | Austin Powers in Goldmember                              | Action
 Jay                 | Russell          |       | Ladder 49                                                | Action
 Jazz                | Boon             |       | Line Walker 2: Invisible Spy                             | Action
 Jean-Claude Van     | Damme            |       | The Quest                                                | Action
 Jean-FranÃ§ois      | Richet           |       | Assault on Precinct 13                                   | Action
 Jeannot             | Szwarc           |       | Supergirl                                                | Action
 Jean-Pierre         | Jeunet           |       | Alien: Resurrection                                      | Action
 Jee-woon            | Kim              |       | The Good the Bad the Weird                               | Action
 Jee-woon            | Kim              |       | I Saw the Devil                                          | Action
 Jee-woon            | Kim              |       | The Last Stand                                           | Action
 Jeff                | Fowler           |       | Sonic the Hedgehog                                       | Action
 Jeff                | Kanew            |       | Eddie Macon's Run                                        | Action
 Jeff                | Kanew            |       | Gotcha!                                                  | Action
 Jeff                | Kanew            |       | V.I. Warshawski                                          | Action
 Jeff                | Tomsic           |       | Tag                                                      | Action
 Jeff                | Wadlow           |       | Never Back Down                                          | Action
 Jeff                | Wadlow           |       | Kick-Ass 2                                               | Action
 Jeffrey             | Nachmanoff       |       | Traitor                                                  | Action
 Jeffrey             | Nicholson        |       | El Coyote                                                | Action
 Je-kyu              | Kang             |       | Tae Guk Gi: The Brotherhood of War                       | Action
 Jennifer Yuh        | Nelson           |       | The Darkest Minds                                        | Action
 Jeong-beom          | Lee              |       | The Man from Nowhere                                     | Action
 Jeremiah S.         | Chechik          |       | The Avengers                                             | Action
 Jerry               | Jameson          |       | Raise the Titanic                                        | Action
 Jerry               | Jameson          |       | Captive                                                  | Action
 Jerry               | Zucker           |       | First Knight                                             | Action
 Jerry               | Zucker           |       | Rat Race                                                 | Action
 Jesse V.            | Johnson          |       | Triple Threat                                            | Action
 Jim                 | Abrahams         |       | Hot Shots!                                               | Action
 Jim                 | Abrahams         |       | Hot Shots! Part Deux                                     | Action
 Jim                 | Drake            |       | Speed Zone                                               | Action
 Jim                 | Jarmusch         |       | Ghost Dog: The Way of the Samurai                        | Action
 Jim                 | Kouf             |       | Disorganized Crime                                       | Action
 Jim                 | Kouf             |       | Gang Related                                             | Action
 Jim                 | McBride          |       | Breathless                                               | Action
 Jim                 | Sheridan         |       | Brothers                                                 | Action
 Jim                 | Wynorski         |       | The Return of Swamp Thing                                | Action
 Jimmy               | Hayward          |       | Jonah Hex                                                | Action
 Joachim             | RÃ¸nning         |       | Pirates of the Caribbean: Dead Men Tell No Tales         | Action
 Joe                 | Carnahan         |       | Smokin' Aces                                             | Action
 Joe                 | Carnahan         |       | The A-Team                                               | Action
 Joe                 | Carnahan         |       | The Grey                                                 | Action
 Joe                 | Cornish          |       | Attack the Block                                         | Action
 Joe                 | Cornish          |       | The Kid Who Would Be King                                | Action
 Joe                 | Dante            |       | Innerspace                                               | Action
 Joe                 | Dante            |       | Small Soldiers                                           | Action
 Joe                 | Johnston         |       | The Rocketeer                                            | Action
 Joe                 | Johnston         |       | Jurassic Park III                                        | Action
 Joe                 | Johnston         |       | Hidalgo                                                  | Action
 Joe                 | Johnston         |       | Captain America: the First Avenger                       | Action
 Joe                 | Lynch            |       | Knights of Badassdom                                     | Action
 Joe                 | Wright           |       | Hanna                                                    | Action
 Joel                | Schumacher       |       | D.C. Cab                                                 | Action
 Joel                | Schumacher       |       | Falling Down                                             | Action
 Joel                | Schumacher       |       | Batman Forever                                           | Action
 Joel                | Schumacher       |       | Batman & Robin                                           | Action
 Joel                | Schumacher       |       | Bad Company                                              | Action
 Joel                | Schumacher       |       | Twelve                                                   | Action
 John Andreas        | Andersen         |       | The Quake                                                | Action
 John                | Badham           |       | WarGames                                                 | Action
 John                | Badham           |       | Blue Thunder                                             | Action
 John                | Badham           |       | Stakeout                                                 | Action
 John                | Badham           |       | Bird on a Wire                                           | Action
 John                | Badham           |       | The Hard Way                                             | Action
 John                | Badham           |       | Point of No Return                                       | Action
 John                | Badham           |       | Drop Zone                                                | Action
 John                | Badham           |       | Nick of Time                                             | Action
 John                | Bonito           |       | The Marine                                               | Action
 John                | Boorman          |       | The Emerald Forest                                       | Action
 John                | Boorman          |       | Beyond Rangoon                                           | Action
 John                | Bruno            |       | Virus                                                    | Action
 John                | Carpenter        |       | Escape from New York                                     | Action
 John                | Carpenter        |       | Big Trouble in Little China                              | Action
 John                | Carpenter        |       | They Live                                                | Action
 John                | Carpenter        |       | Escape from L.A.                                         | Action
 John                | Carpenter        |       | Vampires                                                 | Action
 John                | Carpenter        |       | Ghosts of Mars                                           | Action
 John                | Cornell          |       | Crocodile Dundee II                                      | Action
 John                | Dahl             |       | Kill Me Again                                            | Action
 John                | Dahl             |       | Joy Ride                                                 | Action
 John                | Dahl             |       | The Great Raid                                           | Action
 John Erick          | Dowdle           |       | No Escape                                                | Action
 John                | Flynn            |       | Best Seller                                              | Action
 John                | Flynn            |       | Lock Up                                                  | Action
 John                | Flynn            |       | Out for Justice                                          | Action
 John Francis        | Daley            |       | Game Night                                               | Action
 John                | Frankenheimer    |       | The Challenge                                            | Action
 John                | Frankenheimer    |       | The Holcroft Covenant                                    | Action
 John                | Frankenheimer    |       | Dead Bang                                                | Action
 John                | Frankenheimer    |       | Year of the Gun                                          | Action
 John                | Frankenheimer    |       | Ronin                                                    | Action
 John                | Frankenheimer    |       | Reindeer Games                                           | Action
 John G.             | Avildsen         |       | The Karate Kid                                           | Action
 John G.             | Avildsen         |       | The Karate Kid Part II                                   | Action
 John G.             | Avildsen         |       | The Karate Kid Part III                                  | Action
 John                | Glen             |       | For Your Eyes Only                                       | Action
 John                | Glen             |       | Octopussy                                                | Action
 John                | Glen             |       | A View to a Kill                                         | Action
 John                | Glen             |       | The Living Daylights                                     | Action
 John                | Glen             |       | License to Kill                                          | Action
 John                | Glen             |       | Aces: Iron Eagle III                                     | Action
 John                | Gray             |       | The Glimmer Man                                          | Action
 John                | Guillermin       |       | King Kong Lives                                          | Action
 John                | Gulager          |       | Feast                                                    | Action
 John                | Herzfeld         |       | 15 Minutes                                               | Action
 John                | Hillcoat         |       | Triple 9                                                 | Action
 John                | Hyams            |       | Universal Soldier: Day of Reckoning                      | Action
 John                | Irvin            |       | Raw Deal                                                 | Action
 John                | Irvin            |       | Hamburger Hill                                           | Action
 John                | Irvin            |       | Next of Kin                                              | Action
 John                | Landis           |       | The Blues Brothers                                       | Action
 John                | Landis           |       | Into the Night                                           | Action
 John                | Landis           |       | Innocent Blood                                           | Action
 John                | Landis           |       | Beverly Hills Cop III                                    | Action
 John                | Landis           |       | Blues Brothers 2000                                      | Action
 John                | Luessenhop       |       | Takers                                                   | Action
 John                | Mackenzie        |       | The Last of the Finest                                   | Action
 John                | Maclean          |       | Slow West                                                | Action
 John                | Madden           |       | Killshot                                                 | Action
 John                | McTiernan        |       | Predator                                                 | Action
 John                | McTiernan        |       | Die Hard                                                 | Action
 John                | McTiernan        |       | The Hunt for Red October                                 | Action
 John                | McTiernan        |       | Last Action Hero                                         | Action
 John                | McTiernan        |       | Die Hard with a Vengeance                                | Action
 John                | McTiernan        |       | The 13th Warrior                                         | Action
 John                | McTiernan        |       | Rollerball                                               | Action
 John                | McTiernan        |       | Basic                                                    | Action
 John                | Milius           |       | Conan the Barbarian                                      | Action
 John                | Milius           |       | Red Dawn                                                 | Action
 John                | Milius           |       | Farewell to the King                                     | Action
 John                | Milius           |       | Flight of the Intruder                                   | Action
 John                | Moore            |       | Behind Enemy Lines                                       | Action
 John                | Moore            |       | Flight of the Phoenix                                    | Action
 John                | Moore            |       | The Omen                                                 | Action
 John                | Moore            |       | Max Payne                                                | Action
 John                | Moore            |       | A Good Day to Die Hard                                   | Action
 John                | Nicolella        |       | Kull the Conqueror                                       | Action
 John                | Pasquin          |       | Miss Congeniality 2: Armed & Fabulous                    | Action
 John R.             | Leonetti         |       | Mortal Kombat: Annihilation                              | Action
 John                | Schlesinger      |       | Honky Tonk Freeway                                       | Action
 John                | Singleton        |       | Rosewood                                                 | Action
 John                | Singleton        |       | Shaft                                                    | Action
 John                | Singleton        |       | 2 Fast 2 Furious                                         | Action
 John                | Singleton        |       | Four Brothers                                            | Action
 John                | Singleton        |       | Abduction                                                | Action
 John                | Stainton         |       | The Crocodile Hunter: Collision Course                   | Action
 John                | Stockwell        |       | Into the Blue                                            | Action
 John                | Whitesell        |       | See Spot Run                                             | Action
 John                | Whitesell        |       | Big Mommas: Like Father, Like Son                        | Action
 John                | Woo              |       | Hard Target                                              | Action
 John                | Woo              |       | Broken Arrow                                             | Action
 John                | Woo              |       | Face/Off                                                 | Action
 John                | Woo              |       | Mission: Impossible II                                   | Action
 John                | Woo              |       | Windtalkers                                              | Action
 John                | Woo              |       | Paycheck                                                 | Action
 John                | Woo              |       | Red Cliff                                                | Action
 Jon                 | Amiel            |       | Entrapment                                               | Action
 Jon                 | Amiel            |       | The Core                                                 | Action
 Jon                 | Favreau          |       | Zathura: A Space Adventure                               | Action
 Jon                 | Favreau          |       | Iron Man                                                 | Action
 Jon                 | Favreau          |       | Iron Man 2                                               | Action
 Jon                 | Favreau          |       | Cowboys & Aliens                                         | Action
