List actors that have starred in more than one movie under a company.
SELECT C.member_id, C.first, C.last, P.company, COUNT(S.movie_id) AS num_movies FROM Casts C NATURAL JOIN starred_in S NATURAL JOIN produced P GROUP BY C.member_id, P.company HAVING COUNT(S.movie_id) > 1;
 member_id |      first      |      last      |                   company                   | num_movies 
-----------+-----------------+----------------+---------------------------------------------+------------
      6511 | Bridget         | Fonda          | Warner Bros.                                |          2
      6635 | Cameron         | Diaz           | Columbia Pictures                           |          4
         7 | Aamir           | Khan           | Aamir Khan Productions                      |          3
      1834 | Martin          | Lawrence       | Columbia Pictures                           |          2
      2371 | Robert De       | Niro           | Universal Pictures                          |          3
      6714 | Hulk            | Hogan          | New Line Cinema                             |          3
      6935 | Jennifer Love   | Hewitt         | Columbia Pictures                           |          2
      1512 | Joseph          | Gordon-Levitt  | Columbia Pictures                           |          2
      7647 | Ralph           | Macchio        | Columbia Pictures                           |          3
      1172 | James           | Franco         | Columbia Pictures                           |          2
       229 | Ben             | Affleck        | Paramount Pictures                          |          3
      6445 | Kate            | Hudson         | Universal Pictures                          |          2
      7644 | Andrew          | McCarthy       | Gladden Entertainment                       |          2
      6985 | Charlize        | Theron         | Focus Features                              |          2
      6654 | Jeff            | Goldblum       | Universal Pictures                          |          2
      7630 | Natasha         | Henstridge     | Metro-Goldwyn-Mayer (MGM)                   |          2
      7365 | Henry           | Cavill         | Warner Bros.                                |          2
      7781 | Brigitte        | Lin            | Jet Tone Production                         |          2
      6429 | Channing        | Tatum          | Columbia Pictures                           |          2
      7668 | Chris           | Brown          | Screen Gems                                 |          2
      2371 | Robert De       | Niro           | Tribeca Productions                         |          2
      6834 | Chris           | Pratt          | Warner Bros.                                |          2
       229 | Ben             | Affleck        | Warner Bros.                                |          5
      6224 | G̩rard         | Depardieu      | Film Par Film                               |          2
      6527 | Tim             | Allen          | Revolution Studios                          |          2
      6207 | Michael         | Douglas        | Paramount Pictures                          |          2
      6724 | Brendan         | Fraser         | Universal Pictures                          |          4
      4573 | Nia             | Vardalos       | Gold Circle Films                           |          2
      6558 | Debra           | Winger         | Recorded Picture Company (RPC)              |          2
      6261 | Arnold          | Schwarzenegger | Twentieth Century Fox                       |          2
      6526 | Michael J.      | Fox            | Columbia Pictures                           |          2
       969 | George          | Clooney        | Universal Pictures                          |          3
      6374 | Al              | Pacino         | Paramount Pictures                          |          2
      2377 | Robert          | Englund        | New Line Cinema                             |          5
      6234 | Julia           | Roberts        | Revolution Studios                          |          2
      6485 | Nick            | Nolte          | Touchstone Pictures                         |          3
       780 | Dustin          | Hoffman        | Warner Bros.                                |          2
      7424 | Mark            | Hamill         | Lucasfilm                                   |          2
      6298 | Milla           | Jovovich       | Screen Gems                                 |          5
      6264 | Johnny          | Depp           | GK Films                                    |          2
      6597 | Hayden          | Christensen    | Lucasfilm                                   |          2
      6528 | Kristen         | Stewart        | Summit Entertainment                        |          4
      6761 | Amanda          | Seyfried       | Summit Entertainment                        |          2
      6456 | Melanie         | Griffith       | Hollywood Pictures                          |          2
      8523 | Jeffrey         | Combs          | Empire Pictures                             |          2
      6257 | Tom             | Berenger       | Columbia Pictures                           |          2
      6518 | Robin           | Williams       | Columbia Pictures                           |          2
      6327 | Mark            | Wahlberg       | Twentieth Century Fox                       |          2
      6337 | Jamie Lee       | Curtis         | Dimension Films                             |          2
       168 | Anthony         | Perkins        | Universal Pictures                          |          2
      6796 | Hugh            | Grant          | Castle Rock Entertainment                   |          3
      6580 | John            | Cusack         | Columbia Pictures                           |          2
      2704 | Takeshi         | Kitano         | Bandai Visual Company                       |          3
      6712 | Zac             | Efron          | Universal Pictures                          |          2
      6395 | Dwayne          | Johnson        | Universal Pictures                          |          2
      2476 | Sally           | Field          | Columbia Pictures                           |          2
      6290 | Tom             | Cruise         | Warner Bros.                                |          3
      6245 | Gene            | Hackman        | Twentieth Century Fox                       |          2
      7025 | Patrick         | Wilson         | FilmDistrict                                |          2
      7527 | Terry           | O'Quinn        | Incorporated Television Company (ITC)       |          2
       315 | Bradley         | Cooper         | Warner Bros.                                |          2
      6401 | Reese           | Witherspoon    | Metro-Goldwyn-Mayer (MGM)                   |          3
      7130 | Michael         | Saquella       | Cactus Blue Entertainment                   |          2
      5109 | Rowan           | Atkinson       | Universal Pictures                          |          4
      6479 | Sean            | Connery        | Hollywood Pictures                          |          2
      6369 | Zach            | Galligan       | Warner Bros.                                |          2
      2665 | Steven          | Seagal         | Warner Bros.                                |          7
      7650 | Louis           | Gossett        | Carolco Pictures                            |          2
      4057 | Steve           | Martin         | Twentieth Century Fox                       |          2
      6501 | Kevin           | Bacon          | Paramount Pictures                          |          3
      2812 | Tommy Lee       | Jones          | Columbia Pictures                           |          2
      6246 | Dennis          | Quaid          | Twentieth Century Fox                       |          4
      1577 | Keanu           | Reeves         | Company Films                               |          2
      7241 | Samy            | Naceri         | ARP S̩lection                              |          2
      6971 | Sarah Jessica   | Parker         | New Line Cinema                             |          3
