 movie_id | member_id 
      669 |       865
     1257 |       865
     3199 |       865
     4212 |       865
      933 |       894
     2314 |       957
     2315 |       957
     4243 |       957
     6602 |       957
     6603 |       957
      216 |       969
      450 |       969
      795 |       969
     1617 |       969
     2345 |       969
     2347 |       969
     3002 |       969
     3252 |       969
     3312 |       969
     3314 |       969
     5005 |       969
     6728 |       969
     6869 |       969
     6873 |       969
     6874 |       969
     6876 |       969
     6877 |       969
     7307 |       969
     7470 |       969
     7569 |       969
     5186 |      1030
     3242 |      1032
     4579 |      1032
     7622 |      1033
     2573 |      1051
     4567 |      1065
     6275 |      1078
     2623 |      1083
      879 |      1110
     2035 |      1110
     4034 |      1110
     4221 |      1110
     4447 |      1110
     5920 |      1110
     6792 |      1110
     7160 |      1110
     7165 |      1110
     7167 |      1110
      214 |      1141
      753 |      1141
      756 |      1141
      757 |      1141
     1435 |      1141
     2366 |      1141
     2625 |      1141
     2790 |      1141
     2905 |      1141
     3509 |      1141
     4991 |      1141
     5038 |      1141
     5597 |      1141
     6013 |      1141
     6509 |      1141
     6510 |      1141
     6679 |      1141
     7126 |      1141
     7320 |      1141
      825 |      1144
      827 |      1144
      831 |      1144
      880 |      1144
     1085 |      1144
     1093 |      1144
     1396 |      1144
     1505 |      1144
     2138 |      1144
     2439 |      1144
     2580 |      1144
     2795 |      1144
     2796 |      1144
     2869 |      1144
     4041 |      1144
     4107 |      1144
     5957 |      1144
     5997 |      1144
     6428 |      1144
     6682 |      1144
     6683 |      1144
     6684 |      1144
     7217 |      1144
     2831 |      1161
     1425 |      1172
     2031 |      1172
     2032 |      1172
     2865 |      1172
     4068 |      1172
     5138 |      1172
     6343 |      1172
     6349 |      1172
     6417 |      1172
     7304 |      1172
     1192 |      1217
     1508 |      1217
     2631 |      1217
     2990 |      1217
     3315 |      1217
     3448 |      1217
     3837 |      1217
     4950 |      1217
     6492 |      1217
     6526 |      1217
     6527 |      1217
     6564 |      1217
     3018 |      1228
     3019 |      1228
     3021 |      1228
     3022 |      1228
      173 |      1241
     1752 |      1241
     2583 |      1241
     2584 |      1241
     3048 |      1241
     3511 |      1241
     3664 |      1241
     4379 |      1241
     4470 |      1241
     4688 |      1241
     5094 |      1241
     5547 |      1241
     5548 |      1241
     5958 |      1241
     6074 |      1241
     6242 |      1241
     6569 |      1241
     6570 |      1241
     6847 |      1241
     3115 |      1274
     2158 |      1316
     3191 |      1316
     3192 |      1316
      239 |      1333
      369 |      1339
     1521 |      1339
     1899 |      1339
     3116 |      1339
     3249 |      1339
     3735 |      1339
     4702 |      1339
     5072 |      1339
     6132 |      1339
     6161 |      1339
     6269 |      1339
     7300 |      1339
     5048 |      1360
     7346 |      1360
     3385 |      1381
     4721 |      1419
     6397 |      1419
      171 |      1454
      172 |      1454
     3789 |      1454
     1723 |      1456
     3308 |      1456
     3663 |      1461
     3689 |      1465
     1539 |      1474
     5110 |      1474
     5647 |      1474
     7203 |      1474
     1563 |      1512
     3763 |      1512
     3765 |      1512
     3795 |      1512
     3812 |      1512
     5244 |      1512
     5798 |      1512
     5800 |      1512
     6168 |      1512
     6273 |      1512
     6466 |      1512
     6520 |      1512
     6645 |      1512
     3838 |      1522
     3912 |      1564
      176 |      1577
      228 |      1577
      299 |      1577
      632 |      1577
      885 |      1577
     1000 |      1577
     1048 |      1577
     1049 |      1577
     1050 |      1577
     1472 |      1577
     1959 |      1577
     2113 |      1577
     2677 |      1577
     2969 |      1577
     3112 |      1577
     4136 |      1577
     4137 |      1577
     4138 |      1577
     4397 |      1577
     5293 |      1577
     5528 |      1577
     5885 |      1577
     6087 |      1577
     6461 |      1577
     6737 |      1577
     6839 |      1577
     7025 |      1577
     1552 |      1578
     3954 |      1578
     3955 |      1578
     3397 |      1579
     4012 |      1596
     4013 |      1596
     4015 |      1596
     4017 |      1596
     4022 |      1596
     6037 |      1596
     7592 |      1596
      303 |      1607
      470 |      1607
      840 |      1607
      896 |      1607
     1261 |      1607
     2753 |      1607
     3363 |      1607
     4038 |      1607
     4039 |      1607
     4040 |      1607
     4061 |      1607
     4063 |      1607
     4065 |      1607
     4203 |      1607
     4338 |      1607
     4664 |      1607
     4905 |      1607
     4930 |      1607
     5163 |      1607
     5233 |      1607
     5637 |      1607
     6208 |      1607
     6215 |      1607
     6303 |      1607
     6307 |      1607
     6411 |      1607
     6612 |      1607
     7262 |      1607
     7327 |      1607
      143 |      1621
      934 |      1621
     1338 |      1621
     2354 |      1621
     2710 |      1621
     3537 |      1621
     4084 |      1621
     4180 |      1621
     5007 |      1621
     6393 |      1621
     4093 |      1628
     3438 |      1652
     4131 |      1652
     4132 |      1652
     4147 |      1659
     3586 |      1703
     1133 |      1718
      141 |      1749
     2548 |      1749
     2855 |      1749
     3627 |      1749
     7370 |      1749
     3346 |      1787
     4457 |      1787
     4506 |      1814
     4533 |      1824
     1728 |      1834
     2398 |      1834
     3661 |      1834
     3662 |      1834
     4252 |      1834
     4390 |      1834
     4568 |      1834
     5723 |      1834
     6425 |      1834
     6795 |      1834
     6825 |      1834
     1776 |      1838
     1979 |      1838
     3624 |      1838
     4599 |      1841
      213 |      1862
     1558 |      1862
     1941 |      1862
     2123 |      1862
     3361 |      1862
     3500 |      1862
     3752 |      1862
     4636 |      1862
     4988 |      1862
     5837 |      1862
     6198 |      1862
     6245 |      1862
     6384 |      1862
     7449 |      1862
      123 |      1879
     4666 |      1879
     4667 |      1879
     4668 |      1879
      863 |      1881
     2133 |      1881
     2362 |      1881
     2364 |      1881
     3251 |      1881
     3366 |      1881
     4368 |      1881
     4514 |      1881
     4561 |      1881
     4673 |      1881
     4674 |      1881
     4944 |      1881
     5037 |      1881
     5571 |      1881
     5609 |      1881
     5610 |      1881
     5762 |      1881
     5838 |      1881
     5840 |      1881
     5841 |      1881
     5843 |      1881
     5845 |      1881
     5846 |      1881
     6144 |      1881
     6206 |      1881
     6235 |      1881
     6246 |      1881
     6285 |      1881
     6819 |      1881
     4945 |      1882
     4681 |      1883
     1795 |      1980
     4909 |      1989
     5046 |      2014
     5047 |      2014
      209 |      2050
      290 |      2050
      329 |      2050
      805 |      2050
      826 |      2050
      846 |      2050
     1066 |      2050
     1442 |      2050
     1540 |      2050
     1545 |      2050
     1581 |      2050
     1819 |      2050
     1822 |      2050
     1922 |      2050
     2351 |      2050
     2446 |      2050
     3306 |      2050
     3335 |      2050
     3344 |      2050
     3419 |      2050
     3555 |      2050
     3668 |      2050
     3713 |      2050
     3714 |      2050
     3715 |      2050
     4101 |      2050
     4222 |      2050
     4498 |      2050
     4519 |      2050
     4538 |      2050
     4587 |      2050
     4938 |      2050
     5081 |      2050
     5240 |      2050
     5273 |      2050
     5315 |      2050
     5944 |      2050
     6053 |      2050
     6620 |      2050
     6626 |      2050
     6647 |      2050
     7387 |      2050
     7464 |      2050
     5166 |      2060
